t,count
1621335201,17
1621335213,16
1621335277,15
1621335320,14
1621335338,13
1621335339,12
1621335353,11
1621335376,10
1621335408,9
1621335412,8
1621335421,7
1621335438,6
1621335440,5
1621335486,4
1621335501,3
1621335505,2
1621335576,1
1621335584,0
1621335665,1
1621335706,2
1621335707,3
1621335714,4
1621335725,5
1621335730,5
1621335775,6
1621335776,7
1621335780,8
1621335784,9
1621335853,10
1621335855,11
1621335858,12
1621335864,13
1621335898,14
1621335908,15
1621335911,16
1621335964,17
1621335979,18
1621336003,19
1621336036,20
1621336047,21
1621336092,22
1621336123,23
1621336152,24
1621336186,25
1621336188,26
1621336196,27
1621336197,28
1621336203,29
1621339335,28
1621341453,29
1621342168,28
1621342177,27
1621342218,26
1621342222,25
1621342224,24
1621342229,23
1621342302,22
1621342321,21
1621342355,20
1621342369,19
1621342377,18
1621342407,17
1621342415,16
1621342419,16
1621342436,15
1621342438,14
1621342439,13
1621342443,12
1621342491,11
1621342506,10
1621342515,9
1621342578,8
1621342587,7
1621342598,6
1621342610,5
1621342654,4
1621342678,3
1621342687,2
1621342702,1
1621342703,0
1621342740,0
1621346276,0
1621347176,0
1621348076,0
1621348976,0
1621349876,0
1621350037,1
1621350039,2
1621350059,3
1621350115,4
1621350116,5
1621350150,6
1621350165,7
1621350166,8
1621350169,9
1621350170,10
1621350172,11
1621350173,12
1621350204,13
1621350229,14
1621350231,15
1621350241,16
1621350245,17
1621350253,18
1621350265,19
1621350276,20
1621350315,21
1621350332,22
1621350335,23
1621350340,24
1621350357,25
1621350361,26
1621350776,26
1621351676,26
1621352360,25
1621352576,25
1621352669,24
1621353477,24
1621354377,24
1621354953,23
1621355277,23
1621355775,24
1621355795,25
1621355969,26
1621356177,26
1621356338,25
1621356379,24
1621356380,23
1621356399,22
1621356440,21
1621356479,20
1621356507,19
1621356516,18
1621356562,17
1621356591,16
1621356607,15
1621356620,14
1621356636,13
1621356659,12
1621356689,11
1621356768,10
1621356783,9
1621356808,8
1621356809,7
1621356849,6
1621356856,5
1621356861,4
1621356889,3
1621356941,2
1621356947,1
1621357011,0
1621357077,0
1621358133,0
1621359207,0
1621360290,0
1621361344,0
1621367477,0
1621375056,0
1621375956,0
1621376856,0
1621377756,0
1621378656,0
1621379556,0
1621380456,0
1621381356,0
1621384124,0
1621391318,0
1621396452,0
1621403029,0
1621405507,0
1621407624,1
1621407628,2
1621407674,3
1621407746,4
1621407767,5
1621407770,6
1621407849,7
1621407885,8
1621407897,9
1621407913,10
1621407914,11
1621407927,12
1621407939,13
1621407956,14
1621407961,15
1621407969,16
1621407996,17
1621408041,18
1621408058,19
1621408064,20
1621408073,21
1621408078,22
1621408104,23
1621408126,24
1621408180,25
1621408200,26
1621408211,27
1621408229,28
1621408275,29
1621408321,30
1621408323,31
1621409442,30
1621409574,29
1621410259,28
1621411401,28
1621413423,29
1621413460,30
1621413581,31
1621413970,30
1621414008,29
1621414072,28
1621414102,27
1621414140,26
1621414146,25
1621414218,24
1621414221,23
1621414233,22
1621414325,21
1621414335,20
1621414352,19
1621414387,18
1621414392,17
1621414428,16
1621414446,15
1621414471,14
1621414522,13
1621414585,12
1621414599,11
1621414621,10
1621414630,9
1621414662,8
1621414672,7
1621414698,6
1621414715,5
1621414722,4
1621414752,3
1621414753,2
1621414765,1
1621414775,0
1621414813,1
1621414816,2
1621414834,3
1621414867,4
1621414873,5
1621414875,6
1621414889,7
1621414909,8
1621414920,9
1621414940,10
1621414961,11
1621414987,12
1621414996,13
1621415006,14
1621415009,15
1621415014,16
1621415048,17
1621415080,18
1621415081,19
1621415087,20
1621415090,21
1621415093,22
1621415105,23
1621415125,24
1621415130,25
1621415142,26
1621415152,27
1621415162,28
1621415179,29
1621415190,30
1621415194,31
1621416506,31
1621418226,30
1621418408,29
1621419720,28
1621420017,27
1621420553,28
1621420577,29
1621420670,30
1621420672,31
1621421328,30
1621421334,29
1621421354,28
1621421358,27
1621421418,26
1621421483,25
1621421498,24
1621421507,23
1621421510,22
1621421525,21
1621421533,20
1621421571,19
1621421583,18
1621421604,17
1621421633,16
1621421667,15
1621421674,14
1621421686,13
1621421707,12
1621421744,11
1621421768,10
1621421787,9
1621421829,8
1621421860,7
1621421912,6
1621421919,5
1621421933,4
1621421948,3
1621421952,2
1621421986,1
1621421987,0
1621422064,1
1621422073,2
1621422101,3
1621422133,4
1621422147,5
1621422172,6
1621422178,6
1621422183,7
1621422190,8
1621422196,9
1621422284,10
1621422300,11
1621422311,12
1621422318,13
1621422338,14
1621422364,15
1621422380,16
1621422421,17
1621422462,18
1621422467,19
1621422493,20
1621422508,21
1621422622,22
1621422627,23
1621422637,24
1621422647,25
1621422702,26
1621422744,27
1621422774,28
1621422775,29
1621422778,30
1621425523,29
1621425658,28
1621426455,27
1621426898,26
1621427713,27
1621427729,28
1621427790,29
1621427991,30
1621428331,29
1621428377,28
1621428381,28
1621428391,27
1621428407,26
1621428463,25
1621428499,24
1621428524,23
1621428551,22
1621428569,21
1621428615,20
1621428620,19
1621428621,18
1621428622,17
1621428630,16
1621428731,15
1621428761,14
1621428779,13
1621428815,12
1621428819,11
1621428839,10
1621428892,9
1621428897,8
1621428961,7
1621428985,6
1621429019,5
1621429060,4
1621429065,3
1621429096,2
1621429187,1
1621429193,0
1621429222,1
1621429246,2
1621429253,3
1621429294,4
1621429318,5
1621429379,6
1621429384,7
1621429416,8
1621429440,9
1621429442,10
1621429444,11
1621429469,12
1621429523,13
1621429584,14
1621429667,15
1621429707,16
1621429709,17
1621429717,18
1621429719,19
1621429774,20
1621429775,21
1621431294,20
1621431662,19
1621432419,19
1621432549,18
1621433319,18
1621433699,17
1621434219,17
1621435015,18
1621435067,19
1621435087,20
1621435119,20
1621435194,21
1621436019,21
1621436029,20
1621436045,19
1621436046,18
1621436052,17
1621436060,16
1621436067,15
1621436074,14
1621436085,13
1621436107,12
1621436110,11
1621436119,10
1621436157,9
1621436215,8
1621436231,7
1621436234,6
1621436262,5
1621436272,4
1621436284,3
1621436304,2
1621436344,1
1621436397,0
1621436438,1
1621436500,2
1621436544,3
1621436592,4
1621436595,5
1621436623,6
1621436657,7
1621436677,8
1621436686,9
1621436727,10
1621436733,11
1621436748,12
1621436816,13
1621436820,14
1621436844,15
1621436848,16
1621436850,17
1621436874,18
1621436875,19
1621436877,20
1621436917,21
1621436918,22
1621436920,22
1621436922,23
1621436924,24
1621436940,25
1621436978,26
1621436986,27
1621437015,28
1621437016,29
1621437021,30
1621437820,30
1621438720,30
1621438744,29
1621439620,29
1621440520,29
1621441420,29
1621441902,28
1621442298,29
1621442320,29
1621442364,30
1621442965,29
1621442969,28
1621443006,27
1621443022,26
1621443023,25
1621443093,24
1621443097,23
1621443126,22
1621443162,21
1621443168,20
1621443209,19
1621443220,19
1621443226,18
1621443264,17
1621443281,16
1621443317,15
1621443322,14
1621443328,13
1621443333,12
1621443361,11
1621443374,10
1621443387,9
1621443390,8
1621443439,7
1621443440,6
1621443500,5
1621443501,4
1621443513,3
1621443579,2
1621443590,1
1621443600,0
1621443604,1
1621443605,2
1621443612,3
1621443617,4
1621443629,5
1621443644,6
1621443669,7
1621443707,8
1621443714,9
1621443755,10
1621443849,11
1621443856,12
1621443862,13
1621443909,14
1621443932,15
1621443943,16
1621443949,17
1621443968,18
1621443969,19
1621443976,20
1621443979,21
1621444020,22
1621444022,23
1621444036,24
1621444050,25
1621444051,26
1621444060,27
1621444067,28
1621444091,29
1621444110,30
1621444120,30
1621445020,30
1621445694,29
1621445920,29
1621445922,28
1621446821,28
1621447721,28
1621448621,28
1621449406,29
1621449521,29
1621449562,30
1621450380,29
1621450403,28
1621450415,27
1621450421,26
1621450421,26
1621450430,25
1621450440,24
1621450456,23
1621450493,22
1621450498,21
1621450528,20
1621450535,19
1621450548,18
1621450566,17
1621450570,16
1621450572,15
1621450583,14
1621450595,13
1621450622,12
1621450630,11
1621450641,10
1621450642,9
1621450672,8
1621450675,7
1621450731,6
1621450738,5
1621450745,4
1621450767,3
1621450775,2
1621450781,1
1621450800,0
1621455604,0
1621462701,0
1621469000,0
1621469900,0
1621470800,0
1621471701,0
1621472601,0
1621473501,0
1621474401,0
1621476251,0
1621481593,0
1621487259,0
1621492963,0
1621497637,1
1621497674,2
1621497681,3
1621497703,4
1621497712,5
1621497743,6
1621497768,7
1621497830,8
1621497833,9
1621497865,10
1621497870,11
1621497882,12
1621497905,13
1621497941,14
1621497987,15
1621497989,16
1621498013,17
1621498046,18
1621498054,19
1621498082,20
1621498166,21
1621498169,22
1621498173,23
1621499244,23
1621502834,22
1621503562,23
1621504499,22
1621504502,21
1621504504,20
1621504508,19
1621504518,18
1621504521,17
1621504530,16
1621504546,15
1621504548,14
1621504555,13
1621504561,12
1621504588,11
1621504602,10
1621504608,9
1621504625,8
1621504643,7
1621504653,6
1621504671,5
1621504676,4
1621504680,3
1621504701,2
1621504704,1
1621504706,0
1621504733,0
1621504735,0
1621504852,1
1621504855,2
1621504898,3
1621504912,4
1621504930,5
1621504937,6
1621504945,7
1621504965,8
1621504980,9
1621505003,10
1621505031,11
1621505033,12
1621505034,13
1621505083,14
1621505107,15
1621505157,16
1621505174,17
1621505199,18
1621505250,19
1621507578,18
1621508219,18
1621509021,17
1621509116,16
1621509177,15
1621510511,16
1621510617,17
1621510639,18
1621510768,19
1621511259,18
1621511261,17
1621511318,16
1621511357,15
1621511387,14
1621511408,13
1621511497,12
1621511531,11
1621511552,10
1621511579,9
1621511595,8
1621511640,7
1621511653,6
1621511667,5
1621511704,4
1621511773,3
1621511801,2
1621511908,1
1621511975,0
1621513989,0
1621519222,1
1621519224,2
1621519235,3
1621519253,4
1621519256,5
1621519264,6
1621519280,7
1621519286,8
1621519289,9
1621519293,10
1621519296,11
1621519307,12
1621519361,13
1621519362,14
1621519401,15
1621519412,16
1621519425,17
1621519457,18
1621519466,19
1621519470,20
1621519481,21
1621519501,22
1621519507,23
1621519514,24
1621519520,25
1621520652,25
1621523418,25
1621524318,25
1621524679,24
1621525219,24
1621526119,24
1621527019,24
1621527919,24
1621528554,25
1621528819,25
1621529543,24
1621529557,23
1621529563,22
1621529595,21
1621529621,20
1621529667,19
1621529670,18
1621529690,17
1621529719,17
1621529773,16
1621529788,15
1621529794,14
1621529797,13
1621529804,12
1621529816,11
1621529825,10
1621529830,9
1621529844,8
1621529846,7
1621529852,6
1621529911,5
1621529916,4
1621529943,3
1621529947,2
1621529965,1
1621529969,0
1621530619,0
1621531721,0
1621537586,0
1621545159,0
1621552190,0
1621553430,0
1621554330,0
1621555230,0
1621556130,0
1621557030,0
